Trial #,Slope,Sediment Type,Rock ID,% Change in Cyano,% Change in Green,% Change in Diatom,% Change  in High Impact  Mat Thickness,% Change  in Low Impact  Mat Thickness,% Change  in High Impact AFDM,% Change  in Low Impact AFDM
1,High,None,R01_T01,-75.45582048,0,-90.21827001,-90,-12.5,-100,-60
1,High,None,R02_T01,-50.80645161,0,-83.62849272,-66.66666667,-40,-100,-76.47058824
1,High,None,R03_T01,-52.22222222,0,-75.90673575,-33.33333333,-87.5,-100,-66.66666667
1,High,None,R04_T01,-71.32486388,0,-94.28861102,-100,-80,-100,-87.5
1,High,None,R05_T01,-45.65701559,0,-70.39757995,-91.66666667,-54.54545455,-100,-57.14285714
2,Medium,None,R01_T02,-57.96064401,0,-75.61361837,-57.14285714,-63.63636364,-100,-100
2,Medium,None,R02_T02,-62.83309958,0,-75.78947368,-10,-42.85714286,-25,-100
2,Medium,None,R03_T02,-46.80851064,0,-73.80388441,-66.66666667,-71.42857143,-84.61538462,-100
2,Medium,None,R04_T02,-50.60483871,0,-79.87012987,-77.77777778,-45.45454545,-100,-88.88888889
2,Medium,None,R05_T02,-55.8490566,0,-67.30612245,-50,-25,-66.66666667,-66.66666667
3,Low,None,R01_T03,-40.68767908,,-78.31253714,-50,-68.75,-66.66666667,-83.33333333
3,Low,None,R02_T03,-57.57575758,0,-63.27433628,-33.33333333,-31.25,-50,-92.30769231
3,Low,None,R03_T03,-31.29496403,0,-67.46411483,-33.33333333,-20,-100,50
3,Low,None,R04_T03,-43.16109422,,-51.36986301,-22.22222222,-21.42857143,-56,92.30769231
3,Low,None,R05_T03,-57.8313253,,-76.99018539,-40,-30.76923077,-85.71428571,-91.66666667
4,High,Sand ,R01_T04,-53.94402036,0,-68.18637275,-44.44444444,-33.33333333,-81.81818182,-1.11022E-12
4,High,Sand ,R02_T04,-55.77557756,0,-73.08911589,-66.66666667,-78.57142857,-94.44444444,-40
4,High,Sand ,R03_T04,-63.40425532,0,-74.15682968,-70.58823529,-15.38461538,-89.47368421,-71.42857143
4,High,Sand ,R04_T04,-57.08884688,0,-75.62396007,-61.53846154,-53.33333333,-90,-100
4,High,Sand ,R05_T04,-34.55882353,1525,-41.0472973,-55.55555556,-11.11111111,-87.5,100
5,Medium,Sand ,R01_T05,-36.8115942,0,-49.5412844,-50,-44.44444444,-75,-50
5,Medium,Sand ,R02_T05,-52.82051282,0,-78.52459016,-60,-36.36363636,-88.88888889,-100
5,Medium,Sand ,R03_T05,-54.86725664,,-69.64933495,-50,-16.66666667,-50,-77.77777778
5,Medium,Sand ,R04_T05,-53.33333333,-91.11111111,-53.40909091,0,0,-100,250
5,Medium,Sand ,R05_T05,-49.19678715,0,-60.38124678,-66.66666667,0,-100,75
6,Low,Sand ,R01_T06,-34.082397,0,-54.81758653,-90,-81.25,-87.5,-90
6,Low,Sand ,R02_T06,-66.96428571,0,-88.57142857,-64.70588235,-40,-100,-60
6,Low,Sand ,R03_T06,-20.41884817,0,-60.46511628,-40,0,-85.71428571,0
6,Low,Sand ,R04_T06,-67.13091922,0,-75.71785268,0,-16.66666667,-100,-40
6,Low,Sand ,R05_T06,-45.94594595,0,-44.12811388,-35.71428571,-18.18181818,-46.15384615,-53.84615385
7,High,Gravel,R01_T07,-69.65174129,0,-91.07202124,-100,-63.15789474,-100,-95.65217391
7,High,Gravel,R02_T07,-42.27129338,0,-82.95218295,-85,-33.33333333,-94.11764706,-94.11764706
7,High,Gravel,R03_T07,-8,0,-52.5017135,-84.21052632,-81.25,-100,-90.90909091
7,High,Gravel,R04_T07,-11,0,-31.93657984,-94.44444444,-44.44444444,-100,-83.33333333
7,High,Gravel,R05_T07,-65.71428571,0,-87.81021898,-97.91666667,-84.61538462,-100,-100
8,Medium,Gravel,R01_T08,-38.44537815,0,-70.85399449,-30.76923077,-64.28571429,-95.23809524,-94.73684211
8,Medium,Gravel,R02_T08,-7.986111111,0,-85.80786026,-80,-78.57142857,-90.90909091,-92.30769231
8,Medium,Gravel,R03_T08,-6.140350877,0,-40.16578749,-58.33333333,-55.55555556,-68.75,-93.75
8,Medium,Gravel,R04_T08,-16.11570248,0,-67.31843575,-95.45454545,-66.66666667,-100,-100
8,Medium,Gravel,R05_T08,-34.21750663,0,-85.83599574,-68.75,-64.28571429,-100,-94.44444444
9,Low,Gravel,R01_T09,-2.127659574,0,-82.1875,-23.07692308,-50,-69.56521739,-7.692307692
9,Low,Gravel,R02_T09,-20.99236641,0,-82.82300224,-75,-75,-95.65217391,1400
9,Low,Gravel,R03_T09,-25.42857143,0,-82.56315465,-66.66666667,-40,-100,-56.25
9,Low,Gravel,R04_T09,-9.302325581,0,-86.0948668,-70.58823529,0,-88.88888889,-88.88888889
9,Low,Gravel,R05_T09,-62.5,0,-69.17562724,-8.333333333,-18.18181818,14.28571429,-27.27272727